,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
0,linear,0.1,,,50,0.5,"[46, 15, 8, 26]"
1,linear,0.1,,,50,0.75,"[45, 16, 7, 27]"
2,linear,0.1,,,50,1.0,"[45, 16, 7, 27]"
3,linear,0.1,,,100,0.5,"[46, 15, 8, 26]"
4,linear,0.1,,,100,0.75,"[45, 16, 7, 27]"
5,linear,0.1,,,100,1.0,"[45, 16, 7, 27]"
6,linear,0.1,,,150,0.5,"[46, 15, 8, 26]"
7,linear,0.1,,,150,0.75,"[45, 16, 7, 27]"
8,linear,0.1,,,150,1.0,"[45, 16, 7, 27]"
9,rbf,0.1,1,,50,0.5,"[61, 0, 34, 0]"
10,rbf,0.1,1,,50,0.75,"[61, 0, 34, 0]"
11,rbf,0.1,1,,50,1.0,"[61, 0, 34, 0]"
12,rbf,0.1,1,,100,0.5,"[61, 0, 34, 0]"
13,rbf,0.1,1,,100,0.75,"[61, 0, 34, 0]"
14,rbf,0.1,1,,100,1.0,"[61, 0, 34, 0]"
15,rbf,0.1,1,,150,0.5,"[61, 0, 34, 0]"
16,rbf,0.1,1,,150,0.75,"[61, 0, 34, 0]"
17,rbf,0.1,1,,150,1.0,"[61, 0, 34, 0]"
18,poly,0.1,1,2,50,0.5,"[61, 0, 34, 0]"
19,poly,0.1,1,2,50,0.75,"[61, 0, 34, 0]"
20,poly,0.1,1,2,50,1.0,"[61, 0, 34, 0]"
21,poly,0.1,1,2,100,0.5,"[61, 0, 34, 0]"
22,poly,0.1,1,2,100,0.75,"[61, 0, 34, 0]"
23,poly,0.1,1,2,100,1.0,"[61, 0, 34, 0]"
24,poly,0.1,1,2,150,0.5,"[61, 0, 34, 0]"
25,poly,0.1,1,2,150,0.75,"[61, 0, 34, 0]"
26,poly,0.1,1,2,150,1.0,"[61, 0, 34, 0]"
27,poly,0.1,1,3,50,0.5,"[61, 0, 34, 0]"
28,poly,0.1,1,3,50,0.75,"[61, 0, 34, 0]"
29,poly,0.1,1,3,50,1.0,"[61, 0, 34, 0]"
30,poly,0.1,1,3,100,0.5,"[61, 0, 34, 0]"
31,poly,0.1,1,3,100,0.75,"[61, 0, 34, 0]"
32,poly,0.1,1,3,100,1.0,"[61, 0, 34, 0]"
33,poly,0.1,1,3,150,0.5,"[61, 0, 34, 0]"
34,poly,0.1,1,3,150,0.75,"[61, 0, 34, 0]"
35,poly,0.1,1,3,150,1.0,"[61, 0, 34, 0]"
36,rbf,0.1,10.0,,50,0.5,"[61, 0, 34, 0]"
37,rbf,0.1,10.0,,50,0.75,"[61, 0, 34, 0]"
38,rbf,0.1,10.0,,50,1.0,"[61, 0, 34, 0]"
39,rbf,0.1,10.0,,100,0.5,"[61, 0, 34, 0]"
40,rbf,0.1,10.0,,100,0.75,"[61, 0, 34, 0]"
41,rbf,0.1,10.0,,100,1.0,"[61, 0, 34, 0]"
42,rbf,0.1,10.0,,150,0.5,"[61, 0, 34, 0]"
43,rbf,0.1,10.0,,150,0.75,"[61, 0, 34, 0]"
44,rbf,0.1,10.0,,150,1.0,"[61, 0, 34, 0]"
45,poly,0.1,10.0,2,50,0.5,"[46, 15, 8, 26]"
46,poly,0.1,10.0,2,50,0.75,"[42, 19, 8, 26]"
47,poly,0.1,10.0,2,50,1.0,"[44, 17, 8, 26]"
48,poly,0.1,10.0,2,100,0.5,"[46, 15, 8, 26]"
49,poly,0.1,10.0,2,100,0.75,"[42, 19, 8, 26]"
50,poly,0.1,10.0,2,100,1.0,"[44, 17, 8, 26]"
51,poly,0.1,10.0,2,150,0.5,"[46, 15, 8, 26]"
52,poly,0.1,10.0,2,150,0.75,"[42, 19, 8, 26]"
53,poly,0.1,10.0,2,150,1.0,"[44, 17, 8, 26]"
54,poly,0.1,10.0,3,50,0.5,"[46, 15, 8, 26]"
55,poly,0.1,10.0,3,50,0.75,"[46, 15, 8, 26]"
56,poly,0.1,10.0,3,50,1.0,"[46, 15, 8, 26]"
57,poly,0.1,10.0,3,100,0.5,"[46, 15, 8, 26]"
58,poly,0.1,10.0,3,100,0.75,"[46, 15, 8, 26]"
59,poly,0.1,10.0,3,100,1.0,"[45, 16, 8, 26]"
60,poly,0.1,10.0,3,150,0.5,"[46, 15, 8, 26]"
61,poly,0.1,10.0,3,150,0.75,"[46, 15, 8, 26]"
62,poly,0.1,10.0,3,150,1.0,"[45, 16, 8, 26]"
63,linear,1.0,,,50,0.5,"[46, 15, 8, 26]"
64,linear,1.0,,,50,0.75,"[45, 16, 7, 27]"
65,linear,1.0,,,50,1.0,"[45, 16, 7, 27]"
66,linear,1.0,,,100,0.5,"[46, 15, 8, 26]"
67,linear,1.0,,,100,0.75,"[45, 16, 7, 27]"
68,linear,1.0,,,100,1.0,"[45, 16, 7, 27]"
69,linear,1.0,,,150,0.5,"[46, 15, 8, 26]"
70,linear,1.0,,,150,0.75,"[45, 16, 7, 27]"
